対象のテスト要件ファイル,大項目,中項目,小項目,パターン,userロール,前提条件,手順,期待値,設計備考
カルテ入力画面文字制限テスト仕様書.md,文字制限,文字種別,全角半角特殊文字,正常系,支援者,カルテ編集モードが表示されている,"1. フィールドをクリア
2. 全角文字「あいうえお」（5文字）を入力、カウンター確認
3. 半角文字「abcde」（5文字）を追加、カウンター確認
4. 特殊文字「!@#$%」（5文字）を追加、カウンター確認
5. 改行を3回入力、カウンター確認","全ての文字種別が統一的に1文字として計算される","全角・半角・特殊文字・改行すべて1文字計算"
カルテ入力画面文字制限テスト仕様書.md,文字制限,権限確認,営業担当者閲覧,権限系,営業担当者,テスト用カルテが存在する,"1. FO画面に営業担当者ロールでログイン
2. カルテ詳細画面にアクセス
3. 編集ボタンの表示確認
4. 「現状の課題・所感・申し送り」フィールドの表示確認
5. 直接URL編集モードアクセス試行","営業担当者は閲覧のみ可能で編集できない","ロール別権限制御実装済み"
個人ソルバー不明データ対応機能テスト仕様書.md,不明データ対応,生年月日不明,チェックボックス機能,正常系,アライアンス担当,テスト用ソルバー法人・個人ソルバーが作成済み,"1. FO画面にアライアンス担当ロールでログイン
2. ソルバー法人詳細画面にアクセス
3. 個人ソルバー詳細画面に遷移
4. 編集モードに切り替え
5. 生年月日不明チェックボックスを確認
6. チェックボックスにチェックを入れる
7. 生年月日入力欄の状態確認
8. 保存動作確認","チェックボックスが機能し、チェック時に生年月日欄がグレーアウト（無効化）される","※実装予定機能（v2.5）"
個人ソルバー不明データ対応機能テスト仕様書.md,不明データ対応,単価不明表示,詳細画面表示,正常系,アライアンス担当,0値単価のソルバーが存在する,"1. 0値単価のソルバー詳細画面にアクセス
2. 人月単価の不明表示確認
3. 時間単価の不明表示確認
4. 編集モードでの確認","0値が「不明」として表示され、単位表示（万円、円）が非表示になる","0値を「不明」表示は実装済み"
個人ソルバー不明データ対応機能テスト仕様書.md,不明データ対応,単価表示,一括更新画面,正常系,アライアンス担当,テスト用ソルバー法人と0値単価ソルバーが存在する,"1. 稼働率・単価一括更新画面にアクセス
2. 一括更新画面での0値表示確認
3. 通常値ソルバーとの比較
4. 一括更新での単価変更
5. 詳細画面での更新確認","一括更新画面では「不明」表示せず0値のまま表示、更新が正常に機能する","一括更新画面は除外仕様"
個人ソルバー不明データ対応機能テスト仕様書.md,不明データ対応,権限確認,法人ソルバー担当制限,権限系,法人ソルバー,自社ソルバー法人が存在する,"1. FO画面に法人ソルバーロールでログイン
2. 自社ソルバー一覧のアクセス確認
3. 他社ソルバーへのアクセス制限確認
4. 自社ソルバーでの不明データ機能確認","自社ソルバーのみアクセス可能で、不明データ機能も正常動作","法人ソルバー担当は自社のみアクセス可"
「支援時期」「契約期間」表記統一テスト仕様書.md,表記統一,FO画面,マスターカルテ次回プログラム,正常系,支援者,テスト用プロジェクト・マスターカルテが作成済み,"1. FO画面に支援者ロールでログイン
2. マスターカルテ詳細画面にアクセス
3. 「基本情報」セクションの表記を確認
4. 現在プログラムと次回プログラムの表示切り替え確認","全ての該当箇所で「支援期間」と表示される（修正前は「支援時期」）","言語ファイルでの表記変更"
「支援時期」「契約期間」表記統一テスト仕様書.md,表記統一,FO画面,継続提案スケジュール,正常系,支援者,マスターカルテ編集モードが表示されている,"1. マスターカルテ編集画面にアクセス
2. 継続提案セクションの説明文を確認
3. ツールチップやヘルプテキストの確認","説明文・ヘルプテキストが「継続提案における支援期間を記載」に変更されている","修正前は「支援時期を記載」"
「支援時期」「契約期間」表記統一テスト仕様書.md,表記統一,BO画面,マスターカルテ次回プログラム,正常系,システム管理者,BO環境とマスターカルテが存在する,"1. BO画面にシステム管理者ロールでログイン
2. マスターカルテ詳細画面にアクセス
3. 次回プログラムスケジュール欄の表記確認
4. FOとBOの表記一貫性確認","BO画面でも正しく「支援期間」と表示され、FO・BO両方で統一","BO/lang/ja.jsonも修正対象"
「支援時期」「契約期間」表記統一テスト仕様書.md,表記統一,対象外確認,案件詳細画面,正常系,システム管理者,案件データが存在する,"1. 案件詳細画面にアクセス
2. 「支援開始日・支援終了日（支援期間）」ラベルを確認
3. 案件変更画面でも同様に確認","修正対象外項目が変更されていない","このラベルは修正対象外"
個別カルテ・スケジュール一覧表示位置変更機能テスト仕様書.md,表示位置変更,HOME画面,直近カルテ導線,正常系,支援者,複数日程のスケジュール・カルテが作成済み,"1. FO画面に支援者ロールでログイン
2. 「直近のカルテ」セクションを確認
3. カルテカードをクリックしてカルテ詳細画面へ遷移
4. 操作時間を測定","直近10件のカルテが日時降順でソートされ、3クリック以内でカルテ詳細に到達","LatestSupportProjectSchedule.vueで実装済み"
個別カルテ・スケジュール一覧表示位置変更機能テスト仕様書.md,表示位置変更,カルテ一覧,スケジュール表示位置,正常系,支援者,テスト用プロジェクト・複数スケジュールが存在する,"1. カルテ一覧画面にアクセス
2. 画面レイアウトの確認
3. スケジュール表示順序の確認
4. 表示件数の確認","画面上部に「直近のカルテ」セクションが表示され、直近の日付のスケジュールが最上位に表示される","過去7日間から今日まで、最大10件"
個別カルテ・スケジュール一覧表示位置変更機能テスト仕様書.md,表示位置変更,スケジュール表示,表示内容確認,正常系,支援者,カルテ一覧画面が表示されている,"1. カルテ一覧画面でスケジュール詳細を確認
2. ステータス表示の確認（予定/進行中/実施済）
3. カルテリンクの動作確認","各スケジュールに日付・時間・ステータス・カルテリンクが表示され、全て正常に動作する","ステータスは時刻により自動判定"
個別カルテ・スケジュール一覧表示位置変更機能テスト仕様書.md,表示位置変更,ロール別表示,顧客権限確認,権限系,お客様メンバー,公開カルテが存在する,"1. FO画面にお客様メンバーでログイン
2. HOME画面の直近カルテを確認
3. カルテ一覧画面にアクセス","最大5件の表示、下書き状態のカルテは非表示、顧客向け制限が正しく適用される","顧客は公開カルテのみ、件数制限あり"
個別カルテ・スケジュール一覧表示位置変更機能テスト仕様書.md,表示位置変更,クエリ整合性,HOMEとの整合性確認,正常系,支援者,複数のカルテ・スケジュールが存在する,"1. HOME画面の直近カルテデータを記録
2. カルテ一覧画面のスケジュール表示を確認
3. データの整合性確認","HOMEとカルテ一覧でクエリロジックが整合し、同じプロジェクトのカルテが一貫して表示される","同様のフィルタリング・ソートロジック"
個別カルテ「場所」機能テスト仕様書.md,場所フィールド,テキスト入力,品川本社選択時,正常系,支援者,カルテ編集モードが表示されている,"1. 「品川本社」ラジオボタンを選択
2. テキスト入力フィールドの状態を確認","テキストフィールドが無効化（disabled）される","品川本社選択時はテキスト入力不要"
個別カルテ「場所」機能テスト仕様書.md,場所フィールド,テキスト入力,その他選択時,正常系,支援者,カルテ編集モードが表示されている,"1. 「その他」ラジオボタンを選択
2. テキスト入力フィールドの状態を確認
3. 空欄のまま保存を試行
4. 最大文字数（100文字）を超える文字を入力
5. 適切なテキストを入力して保存","テキストフィールドが有効化され必須マーク表示、空欄時エラー、100文字超過時エラー、適切入力時は正常保存","その他選択時もテキスト入力必須"
個別カルテ「場所」機能テスト仕様書.md,場所フィールド,権限確認,顧客閲覧,権限系,お客様メンバー,公開カルテが存在する,"1. お客様メンバーロールでFO画面にログイン
2. カルテ詳細画面にアクセス
3. 場所フィールドの表示を確認","場所情報が正しく表示される（閲覧可能）、下書き状態のカルテは非表示","顧客は公開カルテのみ閲覧可能"
個別カルテ「場所」機能テスト仕様書.md,場所フィールド,メール通知,顧客オフィス選択時,正常系,支援者,メール送信機能が有効化されている,"1. カルテ編集画面で場所を「顧客オフィス」に設定
2. 詳細テキストに「お客様本社ビル3F会議室」を入力
3. 保存して下書きフラグをfalseに変更
4. 送信されたメールを確認","メールに「【場所】顧客オフィス：お客様本社ビル3F会議室」が表示される","詳細テキスト付きの場所情報が通知される"
個別カルテ「場所」機能テスト仕様書.md,場所フィールド,メール通知,その他選択時,正常系,支援者,メール送信機能が有効化されている,"1. カルテ編集画面で場所を「その他」に設定
2. 詳細テキストに「カフェ（品川駅近く）」を入力
3. 保存して下書きフラグをfalseに変更
4. 送信されたメールを確認","メールに「【場所】その他：カフェ（品川駅近く）」が表示される","その他選択時の詳細テキストも通知される"
個別カルテ「場所」機能テスト仕様書.md,場所フィールド,データ永続化,保存・読み込み確認,正常系,支援者,カルテ編集モードが表示されている,"1. カルテに場所情報を設定して保存（例：「その他」→「リモートワーク（自宅）」）
2. ブラウザを閉じて再度アクセス
3. 同じカルテ詳細画面を開く
4. 場所情報が保持されていることを確認","場所情報が正しく保存・表示される（「その他」が選択され「リモートワーク（自宅）」が表示）","データベースへの永続化が正常動作"
時刻入力15分単位制限機能テスト仕様書.md,時刻入力,BO画面,15分単位制限確認,正常系,システム管理者,BOアクセス権限とプロジェクトが存在する,"1. BO画面にシステム管理者ロールでログイン
2. プロジェクト管理画面にアクセス
3. 支援スケジュール管理での時刻入力確認
4. 時刻選択と動作確認","BO画面でも15分単位制限が一貫して適用される","BOでも同じVueTimePickerコンポーネント使用"
時刻入力15分単位制限機能テスト仕様書.md,時刻入力,バリデーション,時刻フォーマット確認,正常系,支援者,スケジュール作成画面が表示されている,"1. 15分単位の時刻を設定（例：「09:15」）
2. 無効な時刻を直接入力（例：「25:70」）
3. 開始時刻「15:30」、終了時刻「14:00」を設定
4. 時刻フィールドを空欄のまま保存を試行","HH:mm形式で正しく表示、無効時刻でバリデーションエラー、論理エラー検出、必須入力エラー表示","適切なバリデーションが機能"
時刻入力15分単位制限機能テスト仕様書.md,時刻入力,レスポンシブ,各画面サイズ確認,正常系,支援者,時刻入力画面が表示されている,"1. PC画面（1920x1080）での時刻入力確認
2. タブレット画面（768x1024）での確認
3. スマートフォン画面（375x667）での確認
4. HTML5 time inputフォールバックの確認","全画面サイズ・デバイスで適切に動作、代替手段が適切に動作","レスポンシブデザイン対応"
カルテ入力画面文字制限テスト仕様書.md,文字制限,権限確認,営業責任者閲覧,権限系,営業責任者,テスト用カルテが存在する,"1. FO画面に営業責任者ロールでログイン
2. カルテ詳細画面での権限確認","営業責任者も閲覧専用で編集不可","営業系ロールは編集権限なし"
カルテ入力画面文字制限テスト仕様書.md,文字制限,権限確認,支援者責任者編集,正常系,支援者責任者,テスト用カルテが存在する,"1. FO画面に支援者責任者ロールでログイン
2. カルテ編集権限の確認
3. 文字制限機能の確認（999-1001文字テスト）","支援者責任者でも同様の編集権限と制限が適用される","支援者系ロールは編集可能"
カルテ入力画面文字制限テスト仕様書.md,文字制限,入力方式,ブラウザ・IME入力,正常系,支援者,カルテ編集モードが表示されている,"1. 日本語IMEで「かんじへんかんちゅう」と入力（変換前）→「漢字変換中」に変換
2. 外部テキストから1500文字をコピー&ペースト
3. テキストファイルをフィールドにドラッグ&ドロップ
4. 音声入力機能を使用（可能な場合）","全ての入力方法で文字制限が正常に機能する、1000文字まで入力され残りは制限される","あらゆる入力方式で制限適用"
個人ソルバー不明データ対応機能テスト仕様書.md,不明データ対応,生年月日不明,チェック解除動作,正常系,アライアンス担当,生年月日不明がチェック済みの状態,"1. 「生年月日不明」チェックボックスのチェックを外す
2. 生年月日入力欄のグレーアウト解除確認
3. 生年月日欄に「1995/03/20」を入力
4. 保存と表示確認","チェック解除で入力可能になり、正常に保存・表示される","チェック状態の切り替え動作"
個人ソルバー不明データ対応機能テスト仕様書.md,不明データ対応,単価表示,通常値への変更,正常系,アライアンス担当,0値単価のソルバーが存在する,"1. 0値単価のソルバーを編集
2. 人月単価を通常値に変更（上限800000、下限600000）
3. 時間単価を通常値に変更（上限5000、下限3000）
4. 保存と表示確認
5. 再度0値に変更","通常値と0値の間で適切に表示が切り替わる","表示制御の双方向動作"
個人ソルバー不明データ対応機能テスト仕様書.md,不明データ対応,Salesforce連携,不明フラグ連携,正常系,アライアンス担当,Salesforce連携環境が設定済み,"1. 生年月日不明データの連携確認
2. 生年月日通常データの連携確認
3. 連携タイミングの確認","生年月日不明フラグが正しくSalesforceに連携される","※実装予定機能（v2.5）"
個人ソルバー不明データ対応機能テスト仕様書.md,不明データ対応,異常系,境界値・異常値テスト,異常系,アライアンス担当,ソルバー編集画面が表示されている,"1. 生年月日不明チェック状態での日付入力試行
2. 負の値での単価設定試行（-100000）
3. 上限 < 下限の単価設定
4. 極端に大きな値の単価設定（999999999）
5. 必須項目未入力での保存試行","全ての異常値・境界値で適切な制御・エラー表示","データ入力の堅牢性確認"
「支援時期」「契約期間」表記統一テスト仕様書.md,表記統一,案件一覧,表記確認,正常系,支援者,案件データが存在する,"1. 案件一覧画面にアクセス
2. 検索フィルターの表記確認
3. 一覧テーブルのヘッダー確認
4. ソート・フィルター機能の動作確認","「支援期間」で統一され、表記統一後も機能が正常動作","既存機能への影響なし"
「支援時期」「契約期間」表記統一テスト仕様書.md,表記統一,多言語,言語切り替え確認,正常系,支援者,多言語設定が可能な環境,"1. 言語設定を英語に変更
2. 英語表記の確認
3. 日本語に戻して再確認","言語切り替えが正常動作、適切な英語表記、日本語表記が維持される","多言語対応への影響なし"
「支援時期」「契約期間」表記統一テスト仕様書.md,表記統一,レスポンシブ,各画面サイズ表示,正常系,支援者,表記変更対象画面が表示可能,"1. PC画面（1920x1080）での表示確認
2. タブレット画面（768x1024）での表示確認
3. スマートフォン画面（375x667）での表示確認","全画面サイズで適切に表示、表記変更による表示崩れなし","レスポンシブデザインへの影響なし"
個別カルテ・スケジュール一覧表示位置変更機能テスト仕様書.md,表示位置変更,ロール別表示,営業責任者表示確認,権限系,営業責任者,BOアクセス権限とカルテが存在する,"1. BO画面に営業責任者ロールでログイン
2. HOME画面の直近カルテ表示を確認
3. カルテ一覧画面にアクセス","「直近のカルテ」セクションが表示されない、カルテ一覧はアクセス可能","営業責任者にはHOME直近カルテ非表示"
個別カルテ・スケジュール一覧表示位置変更機能テスト仕様書.md,表示位置変更,レスポンシブ,各画面サイズ確認,正常系,支援者,カルテ一覧画面が表示可能,"1. デスクトップ表示（1920x1080）での確認
2. タブレット表示（768x1024）での確認
3. スマートフォン表示（375x667）での確認","全ての画面サイズで適切に表示される","レスポンシブ対応確認"
個別カルテ・スケジュール一覧表示位置変更機能テスト仕様書.md,表示位置変更,パフォーマンス,大量データ表示,正常系,支援者,100件以上のスケジュール・カルテが存在する,"1. 大量データでの表示確認
2. 表示速度の確認","大量データでも3秒以内で表示完了","パフォーマンス要件確認"
